incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,Population(SUM),incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active
Dorris Fire,Y,2015-07-22 17:00:00+00:00,2015-07-21 17:00:00+00:00,CAL FIRE Siskiyou Unit,Siskiyou,44049,24,100,"Hwy 97 closed, Stateline Hwy 161 open with traffic control.","CAL FIRE Siskiyou Unit, SISKIYOU COUNTY SHERIFFâ€™S DEPARTMENT, CHP, DORRIS FIRE, BUTTE VALLEY FIRE, KLAMATH NATIONAL FOREST",-121.891226,41.999341,nan,098eb80f-1ecb-489d-baef-1440fa0e98d6,2015-07-22 17:00:00+00:00,7/22/2015,7/21/2015,N
Wragg Fire,Y,2022-10-24 11:17:51+00:00,2015-07-22 14:24:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,137384,8051,100,All road open to normal traffic.,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire, Winters FPD, Vacaville FPD, Vacaville City Fire, City of Winters, Napa County Sheriff, Solano County Sheriff, Yolo County Sheriff, CHP, Red Cross, PG&E, Napa County Road Department, CDCR, CalOES, Salvation Army, CCC, BLM, CalTrans, Air Resources Board, Bureau of Reclamation, Yocha Dehe Wintun Nation, and CAL FIRE Incident Management Team 6",-122.1145,38.4994,Wildfire,c2279826-dc2f-4eb5-9d3b-3d03eb0b139f,2015-08-05 17:30:00+00:00,8/5/2015,7/22/2015,N
Creek Fire,Y,2016-10-12 18:00:00+00:00,2016-10-10 16:13:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,137384,65,100,All road closures have been lifted.,"CAL FIRE Sonoma-Lake-Napa Unit, Napa County Fire, Napa County Office of Emergency Services, Napa County Sheriffâ€™s  Office, CA Highway Patrol, CA Dept. of Corrections and Rehabilitation",-122.43172,38.40958,nan,3135c367-1274-4cc4-9152-661f6fd7707e,2016-10-12 18:00:00+00:00,10/12/2016,10/10/2016,N
Baxter Fire,Y,2015-07-22 19:50:00+00:00,2015-07-22 18:17:00+00:00,CAL FIRE Nevada Yuba Placer Unit,Placer,406608,26,100,nan,CAL FIRE Nevada Yuba Placer Unit,-121.1548,38.9361,nan,ee7ec0f0-4f5d-4fe1-b2fa-bc15f91519b3,2015-07-22 19:50:00+00:00,7/22/2015,7/22/2015,N
Kyburz Fire,Y,2015-07-29 14:15:00+00:00,2015-07-23 14:00:00+00:00,USFS - El Dorado National Forest ,El Dorado,191713,75,100,nan,USFS - El Dorado National Forest ,-120.404,38.776,nan,74635a69-f34f-4c6e-9e09-1a32d732bb42,2015-07-29 14:15:00+00:00,7/29/2015,7/23/2015,N
3-11 Fire,Y,2015-07-26 10:10:00+00:00,2015-07-23 16:40:00+00:00,CAL FIRE Lassen-Modoc Unit,Modoc,8651,116,100,nan,CAL FIRE Lassen-Modoc Unit,-121.172117,41.29226,nan,0da79ccb-9701-4c27-8831-f10593fb8a90,2015-07-26 10:10:00+00:00,7/26/2015,7/23/2015,N
3-12 Fire,Y,2015-07-25 22:00:00+00:00,2015-07-23 17:30:00+00:00,CAL FIRE Lassen-Modoc Unit,Modoc,8651,77,100,nan,CAL FIRE Lassen-Modoc Unit,-121.101623,40.856422,nan,12f68592-30e3-461c-b489-bc99ba52a38a,2015-07-25 22:00:00+00:00,7/25/2015,7/23/2015,N
Cutca Fire,Y,2015-07-26 06:45:00+00:00,2015-07-24 16:18:00+00:00,USFS - Cleveland National Forest,San Diego,3289701,167,100,nan,USFS - Cleveland National Forest,-116.868611,33.383889,nan,d7757da4-f9e1-451f-8316-26065888dfc2,2015-07-26 06:45:00+00:00,7/26/2015,7/24/2015,N
Park Fire,Y,2015-07-25 16:05:00+00:00,2015-07-24 12:43:00+00:00,CAL FIRE San Diego Unit,San Diego,3289701,25,100,nan,CAL FIRE San Diego Unit,-116.51684,32.682547,nan,a80b8ab7-eba5-4ef7-9992-0cf828138f1b,2015-07-25 16:05:00+00:00,7/25/2015,7/24/2015,N
Lowell Fire,Y,2022-10-24 11:18:08+00:00,2015-07-25 14:37:00+00:00,CAL FIRE Nevada-Yuba-Placer Unit,Nevada,102322,2304,100,All road closures have been lifted.,"CAL FIRE Nevada-Yuba-Placer Unit, Cal OES, California National Guard, CHP, Nevada County Sheriff, Placer County Sheriff, USFS, BLM, California Conservation Corps, SPI, and PG&E.",-120.882313,39.192088,nan,d6b4bed4-f3d6-488a-a2fb-54c7cbfbd8b3,2015-08-12 19:15:00+00:00,8/12/2015,7/25/2015,N
Queen Fire,Y,2015-08-01 21:45:00+00:00,2015-07-24 23:00:00+00:00,CAL FIRE Humboldt-Del Norte Unit,Humboldt,136132,158,100,nan,"CAL FIRE Humboldt-Del Norte Unit, California Department of Corrections and Rehabilitation",-123.784067,41.295667,nan,8be9d271-ed9c-4bc9-9c22-4eff8956ab7b,2015-08-01 21:45:00+00:00,8/1/2015,7/24/2015,N
Willow Fire,Y,2015-08-13 10:30:00+00:00,2015-07-25 14:30:00+00:00,US Forest Service - Sierra National Forest ,Madera,157243,5702,100,nan,US Forest Service - Sierra National Forest ,-119.50014,37.279722,nan,8650f48d-5ea2-4dfc-96d2-f0d3f300b1e4,2015-08-13 10:30:00+00:00,8/13/2015,7/25/2015,N
Mark Fire,Y,2015-08-18 07:15:00+00:00,2015-08-13 16:15:00+00:00,CAL FIRE Tuolumne Calaveras Unit,Calaveras,45674,114,100,nan,CAL FIRE Tuolumne Calaveras Unit,-120.5577,38.052,nan,fe668595-0980-4f41-af0c-3f14c4d391c2,2015-08-18 07:15:00+00:00,8/18/2015,8/13/2015,N
Sullivan Fire,Y,2015-07-28 15:00:00+00:00,2015-07-28 12:10:00+00:00,CAL FIRE Santa Clara Unit,Stanislaus,552063,40,100,nan,CAL FIRE Santa Clara Unit,-121.20324,37.24523,nan,57397ed5-93a3-4e60-9142-9a3e38164ee9,2015-07-28 15:00:00+00:00,7/28/2015,7/28/2015,N
Buck Fire,Y,2015-07-31 19:00:00+00:00,2015-07-28 17:19:00+00:00,CAL FIRE Humboldt-Del Norte Unit,Humboldt,136132,16,100,nan,CAL FIRE Humboldt-Del Norte Unit,-123.774,40.1093,nan,0a645cbe-2d5a-4e2b-80c9-cb9167641cca,2015-07-31 19:00:00+00:00,7/31/2015,7/28/2015,N
Cabin Fire,Y,2015-09-05 18:00:00+00:00,2015-07-19 08:00:00+00:00,USFS - Sequoia National Forest,Tulare,473446,6980,100,nan,USFS - Sequoia National Forest,-118.54,36.24,nan,c316e4c3-4455-4a12-8ecc-af75339adf8f,2015-09-05 18:00:00+00:00,9/5/2015,7/19/2015,N
Swedes Fire,Y,2015-08-03 17:00:00+00:00,2015-07-29 11:25:00+00:00,CAL FIRE Butte Unit,Butte,213605,400,100,nan,"CAL FIRE Butte Unit, CAL FIRE, CHP, GCSO, PG&E, Red Cross, North Valley Animal Disaster Group, Butte County OEM.",-121.38794,39.43963,nan,7428460d-f47d-45c0-8a86-3fb653829860,2015-08-03 17:00:00+00:00,8/3/2015,7/29/2015,N
Rocky Fire,Y,2022-10-24 11:23:08+00:00,2015-07-29 15:29:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,68024,69636,100,nan,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, California Army National Guard, Kelseyville FPD, South Lake FPD, Northshore FPD, Lake County Office of Emergency Services, CHP, CDCR, BLM, USFS, Lake Evacuation and Animal Protection (LEAP), RED CROSS, Lake County Sheriff, Lake County fire agencies, Salvation Army, Yolo County Sheriff, Colusa County Sheriff, Napa County Sheriff, Pacific Gas and Electric, Nevada Division of Forestry, NVADG, Cal Trans, California Conservations Corps and Lake County EOC.",-122.4762475,38.8863538,nan,23e85238-2966-452c-8f21-fa93a51e889b,2015-08-14 18:15:00+00:00,8/14/2015,7/29/2015,N
Mallard Fire,Y,2015-07-31 18:40:00+00:00,2015-07-29 16:30:00+00:00,CAL FIRE Shasta-Trinity Unit,Shasta,181852,75,100,nan,"CAL FIRE Shasta-Trinity Unit, CAL FIRE, Shasta County Fire Department, Millville Fire Protection District, PG&E, Shasta County Sheriffâ€™s Department, California Department of Corrections and Rehabilitation, California Highway Patrol",-122.199227,40.509552,nan,259d9359-0cc2-4058-bfc2-f28ab2a540f4,2015-07-31 18:40:00+00:00,7/31/2015,7/29/2015,N
China Fire,Y,2015-08-01 19:00:00+00:00,2015-07-29 17:55:00+00:00,CAL FIRE Shasta-Trinity Unit,Shasta,181852,212,100,nan,CAL FIRE Shasta-Trinity Unit,-122.439939,40.415108,nan,efe937e3-8b63-4495-b578-e2582fb2166d,2015-08-01 19:00:00+00:00,8/1/2015,7/29/2015,N
Big Creek Fire,Y,2015-08-04 18:00:00+00:00,2015-07-29 16:30:00+00:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,54993,204,100,nan,"CAL FIRE Tuolumne-Calaveras Unit, US Forest Service, Tuolumne County Fire Department, Stanislaus Consolidated, Copperopolis Fire, Central Fire, San Andreas Fire, Georgetown, Diamond Springs, Santa Barbara County, Groveland Community Services District, Lathrop â€“ Manteca, Los Angeles County, Orange County, Carson City, Storey County, Sparks Fire Department, East Fork Fire and Paramedic District, Central Line County, California Office of Emergency Services, California Department of Corrections, Hetch Hetchy Water and Power, PG&E, California Highway Patrol, Tuolumne County.",-120.15644,37.823,nan,55a1ec97-90fb-48df-8414-203b91adcd76,2015-08-04 18:00:00+00:00,8/4/2015,7/29/2015,N
Tulloch Fire,Y,2015-08-16 19:20:00+00:00,2015-08-15 16:11:00+00:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,54993,112,100,nan,CAL FIRE Tuolumne-Calaveras Unit,-120.61691,37.83618,nan,72c7a5c9-82c2-44c4-8bf2-241fb36e1ee7,2015-08-16 19:20:00+00:00,8/16/2015,8/15/2015,N
Vasco Fire,Y,2015-07-30 16:00:00+00:00,2015-07-30 11:18:00+00:00,CAL FIRE Santa Clara Unit,Contra Costa,1162648,195,100,nan,CAL FIRE Santa Clara Unit,-121.68113,37.81629,nan,652938d9-2f23-41d8-a49c-30b218594762,2015-07-30 16:00:00+00:00,7/30/2015,7/30/2015,N
Sprig Fire,Y,2015-07-31 18:30:00+00:00,2015-07-30 12:57:00+00:00,CAL FIRE Shasta-Trinity Unit,Shasta,181852,90,100,nan,CAL FIRE Shasta-Trinity Unit,-122.20109,40.49865,nan,8232dfd5-eda3-4766-83ec-83365cf21d93,2015-07-31 18:30:00+00:00,7/31/2015,7/30/2015,N
Advance Fire,Y,2015-08-05 17:45:00+00:00,2015-07-30 12:40:00+00:00,CAL FIRE Tulare Unit,Tulare,473446,86,100,nan,CAL FIRE Tulare Unit,-118.9009,36.49845,nan,2a6270c5-859f-4ffa-91c2-ecbee5ebdd7b,2015-08-05 17:45:00+00:00,8/5/2015,7/30/2015,N
Mendocino Lightning Fires,Y,2015-08-03 08:55:00+00:00,2015-07-30 13:36:00+00:00,CAL FIRE Mendocino Unit,Mendocino,91145,50,100,nan,CAL FIRE Mendocino Unit,-123.36316,39.43301,nan,9f031bfa-47bc-4fee-aca1-988462d6ab53,2015-08-03 08:55:00+00:00,8/3/2015,7/30/2015,N
Anza Fire,Y,2022-10-24 11:23:24+00:00,2015-08-10 11:44:00+00:00,CAL FIRE/Riverside County Fire,Riverside,2429487,500,100,nan,CAL FIRE/Riverside County Fire,-116.5387,33.5736,nan,592f14da-405c-4e6d-a83b-8937322524ad,2015-08-15 17:30:00+00:00,8/15/2015,8/10/2015,N
Frog Fire,Y,2015-07-31 20:00:00+00:00,2015-07-30 17:45:00+00:00,USFS Modoc National Forest,Modoc,8651,4863,100,nan,USFS Modoc National Forest,-121.392,41.399,nan,a063b897-28aa-43e5-b608-1b79f770050c,2015-07-31 20:00:00+00:00,7/31/2015,7/30/2015,N
Fern Fire,Y,2015-08-04 18:00:00+00:00,2015-08-02 03:00:00+00:00,CAL FIRE Shasta-Trinity Unit,Shasta,181852,75,100,nan,CAL FIRE Shasta-Trinity Unit,-121.93244,40.67868,nan,dfd02b2e-7e2d-4636-a178-0ebff2d170c8,2015-08-04 18:00:00+00:00,8/4/2015,8/2/2015,N
White Fire,Y,2023-10-20 09:51:44+00:00,2015-08-01 14:32:00+00:00,Santa Barbara County Fire,Santa Barbara,445213,52,100,nan,Santa Barbara County Fire,-120.2903,34.9522,nan,f136ba8d-f6bb-4bad-9815-1d56f9dc8650,2015-08-03 09:50:46+00:00,8/3/2015,8/1/2015,N
Francis Fire,Y,2015-08-05 07:30:00+00:00,2015-08-03 18:07:00+00:00,CAL FIRE Nevada-Yuba-Placer Unit,Yuba,81705,30,100,nan,CAL FIRE Nevada-Yuba-Placer Unit,-121.18735,39.33303,nan,139766ba-33ac-442e-9a6b-b78d270c110a,2015-08-05 07:30:00+00:00,8/5/2015,8/3/2015,N
Point Fire,Y,2015-08-04 08:15:00+00:00,2015-08-03 14:28:00+00:00,CAL FIRE Shasta-Trinity Unit,Shasta,181852,59,100,nan,CAL FIRE Shasta-Trinity Unit,-122.40546,40.3929,nan,6c5fcfc7-659a-44ee-b225-c4ae919882e7,2015-08-04 08:15:00+00:00,8/4/2015,8/3/2015,N
Dodge Fire,Y,2015-08-04 10:37:00+00:00,2015-08-03 14:15:00+00:00,Bureau of Land Management,Lassen,31873,10570,100,nan,Bureau of Land Management,-120.105,40.938,nan,293c6467-7b2e-43a3-94c1-41cec4339b67,2015-08-04 10:37:00+00:00,8/4/2015,8/3/2015,N
De Luz Fire,Y,2015-08-10 15:05:00+00:00,2015-08-09 08:22:00+00:00,CAL FIRE San Diego Unit,San Diego,3289701,55,100,nan,CAL FIRE San Diego Unit,-117.2886249,33.4115972,nan,3cc1aa4c-b87d-4b4d-99b1-83dc56291b33,2015-08-10 15:05:00+00:00,8/10/2015,8/9/2015,N
36 Fire,Y,2015-08-09 20:30:00+00:00,2015-08-08 14:55:00+00:00,CAL FIRE Tehama-Glenn Unit,Tehama,65484,110,100,nan,CAL FIRE Tehama-Glenn Unit,-121.7786799,40.3506868,nan,ffbc1cb8-be33-4483-8442-85ab2587dce4,2015-08-09 20:30:00+00:00,8/9/2015,8/8/2015,N
Jerusalem Fire,Y,2015-08-25 06:45:00+00:00,2015-08-09 15:34:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit,"Lake, Napa",205408,25118,100,nan,"CAL FIRE Sonoma-Lake-Napa Unit, Lake County Sheriff, Lake County Fire Agencies, California National Guard, CDCR, CHP, USFS, BLM, Kelseyville FPD, South Lake FPD, Northshore FPD, Lake County Office of Emergency Services, Lake Evacuation and Animal Protection (LEAP), RED CROSS, Salvation Army, Yolo County Sheriff, Napa County Sheriff, Colusa County Sheriff, Pacific Gas and Electric, and  Cal Trans.",-122.4867319,38.8142503,nan,94a7ae52-fed9-4997-b972-1761aa4b89ca,2015-08-25 06:45:00+00:00,8/25/2015,8/9/2015,N
Cuesta Fire,Y,2015-08-28 18:15:00+00:00,2015-08-16 18:13:00+00:00,CAL FIRE San Luis Obispo Unit/ Los Padres National Forest ,San Luis Obispo,281712,2446,100,nan,"CAL FIRE San Luis Obispo Unit/ Los Padres National Forest , San Luis Obispo County Sheriff, San Luis Obispo County OES, California Highway Patrol, CAL OES, California Department of Corrections and Rehabilitation, Bureau of Land Management, California Conservation Corps, and the American Red Cross, California National Guard",-120.6269,35.3477,nan,fde8f46b-0225-4489-be2d-68453a524190,2015-08-28 18:15:00+00:00,8/28/2015,8/16/2015,N
Horse Fire,Y,2015-08-29 07:00:00+00:00,2015-08-18 18:30:00+00:00,CAL FIRE Humboldt-Del Norte Unit,Humboldt,136132,146,100,nan,"CAL FIRE Humboldt-Del Norte Unit, BLM, CDCR, CCC, Humboldt Co. Sheriff, Humboldt OES, Shelter Cove Fire, Briceland Fire",-124.0720419,40.1058823,nan,cbaa4a28-c732-4c11-9d44-7da6c3bd8e42,2015-08-29 07:00:00+00:00,8/29/2015,8/18/2015,N
Tesla Fire,Y,2022-10-24 11:23:43+00:00,2015-08-19 14:45:00+00:00,CAL FIRE Santa Clara Unit,Alameda,1663823,2850,100,nan,CAL FIRE Santa Clara Unit,-121.3732,37.3845,nan,8fc920eb-ca45-4d77-9a92-1326eca602d6,2015-08-22 18:30:00+00:00,8/22/2015,8/19/2015,N
Grade Fire,Y,2015-08-25 18:30:00+00:00,2015-08-24 12:12:00+00:00,CAL FIRE Sonoma Lake Napa,Lake,68024,22,100,nan,CAL FIRE Sonoma Lake Napa,-122.53428,38.831478,nan,909d6135-070c-4e3b-ba22-23877fb603c3,2015-08-25 18:30:00+00:00,8/25/2015,8/24/2015,N
Peterson Fire,Y,2015-08-27 15:15:00+00:00,2015-08-22 17:30:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,68024,215,100,nan,"CAL FIRE Sonoma-Lake-Napa Unit, Kelseyville FD, South Lake FPD, Lake Co. Sheriff, PG&E, CDCR",-122.879272,38.925764,nan,02d470c1-bf41-4ff9-9424-f680cef5bbbc,2015-08-27 15:15:00+00:00,8/27/2015,8/22/2015,N
Summit Fire,Y,2015-09-11 15:00:00+00:00,2015-08-23 12:25:00+00:00,USFS - San Bernardino National Forest,San Bernardino,2180563,55,100,nan,USFS - San Bernardino National Forest,-116.883,34.23,nan,d0875efe-54fb-4cc2-b647-4f4d210df118,2015-09-11 15:00:00+00:00,9/11/2015,8/23/2015,N
Democrat Fire,Y,2015-08-29 18:45:00+00:00,2015-08-25 14:08:00+00:00,CAL FIRE Shasta-Trinity Unit,Trinity,15889,128,100,nan,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Weaverville Fire Department, Lewiston Volunteer Fire Department, Douglas City Volunteer Fire Department, United States Forest Service, Trinity County Sherriffâ€™s Office, Bureau of Land Management, American Red Cross, California Department of Corrections and Rehabilitation, Cal OES, California Highway Patrol",-122.96174,40.724898,nan,da522578-443a-4c52-a9bb-d72bbb84dcdb,2015-08-29 18:45:00+00:00,8/29/2015,8/25/2015,N
Elk Fire,Y,2015-09-08 19:28:00+00:00,2015-09-02 14:57:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit / Mendocino National Forest,Lake,68024,673,100,nan,"CAL FIRE Sonoma-Lake-Napa Unit / Mendocino National Forest, CALFIRE, USFS, North Shore Fire District, Lake County Sheriffâ€™s Office and CHP.",-122,55.23,nan,0eed7005-6ace-4eb2-8919-eb131c246f84,2015-09-08 19:28:00+00:00,9/8/2015,9/2/2015,N
Olive Fire,Y,2015-09-03 19:35:00+00:00,2015-09-02 13:18:00+00:00,CAL FIRE Butte Unit,Butte,213605,72,100,Temporary road closure to Mission Olive Road,"CAL FIRE Butte Unit, CHP, Plumas National Forest, Butte County Public Works and PG&E",-121,26.42,nan,3435fd06-f77e-42c3-8fa5-261cf0cb828c,2015-09-03 19:35:00+00:00,9/3/2015,9/2/2015,N
Kramer Fire ,Y,2015-08-30 08:00:00+00:00,2015-08-29 16:06:00+00:00,CAL FIRE Lassen-Modoc Unit,Lassen,31873,30,100,nan,CAL FIRE Lassen-Modoc Unit,-121.194256,41.12362,nan,bb500714-470e-4529-a15a-11d96e85cc68,2015-08-30 08:00:00+00:00,8/30/2015,8/29/2015,N
Oak Fire,Y,2015-09-15 19:15:00+00:00,2015-09-08 13:23:00+00:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,54993,108,100,Old Oak Ranch Road  remains closed. Big Hill Road is open.,"CAL FIRE Tuolumne-Calaveras Unit, California Department of Corrections, California Highway Patrol, Stanislaus National Forest, Tuolumne County Fire Department, Twain Harte C.S.D. Fire-Rescue, Tuolumne County Sheriffâ€™s Department; Tuolumne County Road Department, American Red Cross, PG&E; AT&T; Comcast.",-120.30188,38.04684,nan,40f44488-051f-4412-a577-c932f2ce751d,2015-09-15 19:15:00+00:00,9/15/2015,9/8/2015,N
Browns Fire,Y,2015-09-10 17:05:00+00:00,2015-09-08 15:56:00+00:00,CAL FIRE Shasta-Trinity Unit,Trinity,15889,35,100,nan,CAL FIRE Shasta-Trinity Unit,41.46,40,nan,5046e2ed-e2c3-4932-8f89-64dcdf19022d,2015-09-10 17:05:00+00:00,9/10/2015,9/8/2015,N
Center Fire,Y,2015-09-10 07:49:00+00:00,2015-09-09 14:12:00+00:00,CAL FIRE Lassen - Modoc Unit,Lassen,31873,40,100,nan,CAL FIRE Lassen - Modoc Unit,-120.553075,40.400196,nan,75c14933-9916-4dfe-ac66-7d98706a5172,2015-09-10 07:49:00+00:00,9/10/2015,9/9/2015,N
Creek Fire,Y,2015-09-11 19:17:00+00:00,2015-09-09 14:30:00+00:00,CAL FIRE Fresno Kings Unit,Fresno,1008280,170,100,nan,CAL FIRE Fresno Kings Unit,-120.553075,40.400196,nan,9a3df964-7794-411c-9043-967476fe77e6,2015-09-11 19:17:00+00:00,9/11/2015,9/9/2015,N
Butte Fire,Y,2022-10-24 11:19:23+00:00,2015-09-09 14:26:00+00:00,CAL FIRE Amador - El Dorado Unit,Butte,213605,70868,100,nan,"CAL FIRE Amador - El Dorado Unit, Amador County Sheriff, Calaveras County Sheriff, CAL OES, BLM, PG&E, CHP, Amador Fire Protection District, Calaveras PUD, CDCR, Sutter Creek Fire Department, CALTRANS, State Parks, California Conservation Corp.",-120.70418,38.32974,Wildfire,13466833-32d1-418b-b145-f7ce1f7bf66e,2015-10-15 19:45:00+00:00,10/15/2015,9/9/2015,N
Lumpkin Fire,Y,2022-10-24 11:24:27+00:00,2015-09-11 14:15:00+00:00,CAL FIRE Butte Unit,Butte,213605,1040,100,nan,"CAL FIRE Butte Unit, Butte County Sheriffâ€™s Office, California State Parks, California Highway Patrol, United States Forest Service, California Office of Emergency Services, California Department of Corrections and Rehabilitation, California Conservation Corps, Pacific Gas and Electric, Butte Emergency Medical Services, Butte County Public Works and American Red Cross.",-121.3363,39.5218,nan,f7067bff-efb4-4ca6-a627-6145836857ec,2015-09-17 19:30:00+00:00,9/17/2015,9/11/2015,N
Walker Fire,Y,2015-09-13 10:15:00+00:00,2015-09-11 15:08:00+00:00,CAL FIRE Shasta-Trinity Unit,Shasta,181852,109,100,nan,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Happy Valley Fire Protection District, Shasta Fire Department, Redding Fire Department, Millville Fire Protection District, Anderson Fire Protection District, Mountain Gate Fire Department",-122.52541,40.47512,nan,dbd39ec2-546c-4afc-9ff2-b1939eead03e,2015-09-13 10:15:00+00:00,9/13/2015,9/11/2015,N
Munjar Fire,Y,2015-10-02 17:50:00+00:00,2015-10-02 14:38:00+00:00,CAL FIRE Butte Unit ,Butte,213605,104,100,nan,CAL FIRE Butte Unit ,-121.8938,39.8707,nan,897d01d8-dd38-43e2-bcd6-fa62aac03318,2015-10-02 17:50:00+00:00,10/2/2015,10/2/2015,N
Rough Fire ,Y,2015-11-09 12:00:00+00:00,2015-07-31 19:00:00+00:00,Sierra National Forest ,Fresno,1008280,151623,100,nan,Sierra National Forest ,-118.905,36.874,nan,8c788c0a-d1fc-46d7-a17c-23f786831f7d,2015-11-09 12:00:00+00:00,11/9/2015,7/31/2015,N
Taglio Fire,Y,2016-04-24 15:30:00+00:00,2016-04-24 11:10:00+00:00,CAL FIRE Madera-Mariposa-Merced Unit,Merced,282290,30,100,nan,CAL FIRE Madera-Mariposa-Merced Unit,-121.08036,37.2171,nan,7106ba43-100b-41f9-acbf-9fb9e9ab9ef7,2016-04-24 15:30:00+00:00,4/24/2016,4/24/2016,N
Solimar Fire,Y,2015-12-29 10:00:00+00:00,2015-12-25 22:42:00+00:00,Ventura County Fire Department,nan,0,1388,100,nan,Ventura County Fire Department,-119.34512,34.31953,nan,c6f0705e-8bec-4a00-92a7-dc47245de7fa,2015-12-29 10:00:00+00:00,12/29/2015,12/25/2015,N
Potrero Fire,Y,2015-11-07 16:45:00+00:00,2015-11-07 01:45:00+00:00,Ventura County Fire Department,Ventura,842009,50,100,nan,Ventura County Fire Department,-118.879444,34.15,nan,3f31752f-4f51-4705-9fe4-50beec88a0e8,2015-11-07 16:45:00+00:00,11/7/2015,11/7/2015,N
Cienega Fire,Y,2022-10-24 11:24:41+00:00,2015-10-12 16:00:00+00:00,CAL FIRE San Benito - Monterey Unit,San Benito,64753,690,100,nan,CAL FIRE San Benito - Monterey Unit,-121.32734,36.70854,nan,8e71e23c-6161-480e-b8ca-f03147475e4d,2015-10-16 18:00:00+00:00,10/16/2015,10/12/2015,N
Gibraltar Fire,Y,2015-11-09 12:00:00+00:00,2015-10-29 05:30:00+00:00,Los Padres National Forest,Santa Barbara,445213,21,100,nan,Los Padres National Forest,-119.63216,34.4828,nan,fbd3c0a8-7191-473c-bb05-43616711b6c5,2015-11-09 12:00:00+00:00,11/9/2015,10/29/2015,N
McCourtney Fire,Y,2015-09-21 14:36:00+00:00,2015-09-22 07:00:00+00:00,CAL FIRE Nevada-Yuba-Placer Unit,Nevada,102322,30,100,nan,CAL FIRE Nevada-Yuba-Placer Unit,-121.194,39.081,nan,c27d03c6-361e-44b3-8335-a1fe06f88fd7,2015-09-21 14:36:00+00:00,9/21/2015,9/22/2015,N
Tassajara Fire,Y,2022-10-24 11:25:03+00:00,2015-09-19 15:00:00+00:00,CAL FIRE San Benito-Monterey Unit,Monterey,437609,1086,100,nan,"CAL FIRE San Benito-Monterey Unit, Monterey County Sheriff, USFS Los Padres, CHP, Red Cross, Monterey County Regional FPD, CAL Trans, Cachaqua FPD, OES, SPCA of Monterey County, Monterey County EOC, PG&E, Monterey County Public Works, California Department of Corrections and Rehabilitation.",-121.589554,36.3699644,nan,1f54817c-8832-4a47-8ede-ab8072f52677,2015-09-27 18:15:00+00:00,9/27/2015,9/19/2015,N
Laureles Fire,Y,2015-09-21 18:20:00+00:00,2015-09-19 15:25:00+00:00,CAL FIRE San Benito-Monterey Unit,Monterey,437609,95,100,nan,CAL FIRE San Benito-Monterey Unit,-121.7556029,36.5696373,nan,9569dcd6-c94f-4849-a90a-db58bfc77bee,2015-09-21 18:20:00+00:00,9/21/2015,9/19/2015,N
Gorman Fire,Y,2016-04-19 15:30:00+00:00,2016-04-19 13:09:00+00:00,Los Angeles County Fire,Los Angeles,9936690,0,100,nan,Los Angeles County Fire,-118.7892593,34.6888731,nan,2c77fa07-73e6-45fe-a527-5bd526bdef41,2016-04-19 15:30:00+00:00,4/19/2016,4/19/2016,N
Tulloch Fire,Y,2016-06-01 19:45:00+00:00,2016-05-30 15:10:00+00:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,54993,85,100,nan,CAL FIRE Tuolumne-Calaveras Unit,-120.528836,37.927613,nan,ffec404e-dea9-4175-8c50-8f2b0ca3efdd,2016-06-01 19:45:00+00:00,6/1/2016,5/30/2016,N
Metz Fire,Y,2016-05-25 18:15:00+00:00,2016-05-22 15:27:00+00:00,CAL FIRE San Benito-Monterey Unit,Monterey,437609,3876,100,nan,CAL FIRE San Benito-Monterey Unit,-121.20059,36.38123,nan,55fa95e6-f09e-42c4-889b-a4b5b63dccf2,2016-05-25 18:15:00+00:00,5/25/2016,5/22/2016,N
Wheatland Fire,Y,2016-05-25 18:45:00+00:00,2016-05-23 14:15:00+00:00,LA County Fire Department/Angeles National Forest,Los Angeles,9936690,156,100,nan,LA County Fire Department/Angeles National Forest,-118.354,34.276,nan,ace1f464-7a70-4dcc-b8c5-d64fb1021d0e,2016-05-25 18:45:00+00:00,5/25/2016,5/23/2016,N
